In 219 List,Facility ID,Facility Name,Address,City/Town,State,ZIP Code,County/Parish,Telephone Number,Measure ID,Measure Name,Compared to National,Denominator,Score,Lower Estimate,Higher Estimate,Number of Patients,Number of Patients Returned,Footnote,Start Date,End Date
YES,331320,COBLESKILL REGIONAL HOSPITAL,178 GRANDVIEW DRIVE,COBLESKILL,NY,12043,SCHOHARIE,(518) 254-3456,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,Number of cases too small,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,1,01/01/2023,12/31/2023
YES,331320,COBLESKILL REGIONAL HOSPITAL,178 GRANDVIEW DRIVE,COBLESKILL,NY,12043,SCHOHARIE,(518) 254-3456,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,1,07/01/2021,06/30/2024
YES,331320,COBLESKILL REGIONAL HOSPITAL,178 GRANDVIEW DRIVE,COBLESKILL,NY,12043,SCHOHARIE,(518) 254-3456,READM_30_CABG,Rate of readmission for CABG,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,5,07/01/2021,06/30/2024
YES,331320,COBLESKILL REGIONAL HOSPITAL,178 GRANDVIEW DRIVE,COBLESKILL,NY,12043,SCHOHARIE,(518) 254-3456,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,No Different Than the National Rate,39,18.6,15.2,22.9,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,331320,COBLESKILL REGIONAL HOSPITAL,178 GRANDVIEW DRIVE,COBLESKILL,NY,12043,SCHOHARIE,(518) 254-3456,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,44,19.7,16.0,23.8,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,331320,COBLESKILL REGIONAL HOSPITAL,178 GRANDVIEW DRIVE,COBLESKILL,NY,12043,SCHOHARIE,(518) 254-3456,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,5,07/01/2021,06/30/2024
YES,331320,COBLESKILL REGIONAL HOSPITAL,178 GRANDVIEW DRIVE,COBLESKILL,NY,12043,SCHOHARIE,(518) 254-3456,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,No Different Than the National Rate,64,14.4,11.8,17.7,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330094,COLUMBIA MEMORIAL HOSPITAL,71 PROSPECT AVENUE,HUDSON,NY,12534,COLUMBIA,(518) 828-7601,EDAC_30_AMI,Hospital return days for heart attack patients,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1,07/01/2021,06/30/2024
YES,330094,COLUMBIA MEMORIAL HOSPITAL,71 PROSPECT AVENUE,HUDSON,NY,12534,COLUMBIA,(518) 828-7601,EDAC_30_HF,Hospital return days for heart failure patients,More Days Than Average per 100 Discharges,162,55.6,35.3,76.5,135,49,,07/01/2021,06/30/2024
YES,330094,COLUMBIA MEMORIAL HOSPITAL,71 PROSPECT AVENUE,HUDSON,NY,12534,COLUMBIA,(518) 828-7601,EDAC_30_PN,Hospital return days for pneumonia patients,More Days Than Average per 100 Discharges,136,38.1,19.3,59.3,127,44,,07/01/2021,06/30/2024
YES,330094,COLUMBIA MEMORIAL HOSPITAL,71 PROSPECT AVENUE,HUDSON,NY,12534,COLUMBIA,(518) 828-7601,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),No Different Than the National Rate,663,14.5,13.1,16.1,Not Applicable,Not Applicable,,07/01/2023,06/30/2024
YES,330094,COLUMBIA MEMORIAL HOSPITAL,71 PROSPECT AVENUE,HUDSON,NY,12534,COLUMBIA,(518) 828-7601,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",No Different Than the National Rate,890,11.3,8.3,15.1,Not Applicable,Not Applicable,,01/01/2021,12/31/2023
YES,330094,COLUMBIA MEMORIAL HOSPITAL,71 PROSPECT AVENUE,HUDSON,NY,12534,COLUMBIA,(518) 828-7601,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,No Different Than the National Rate,39,9.8,6.2,15.3,Not Applicable,Not Applicable,,01/01/2023,12/31/2023
YES,330094,COLUMBIA MEMORIAL HOSPITAL,71 PROSPECT AVENUE,HUDSON,NY,12534,COLUMBIA,(518) 828-7601,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,No Different Than the National Rate,39,5,3,8.3,Not Applicable,Not Applicable,,01/01/2023,12/31/2023
YES,330094,COLUMBIA MEMORIAL HOSPITAL,71 PROSPECT AVENUE,HUDSON,NY,12534,COLUMBIA,(518) 828-7601,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,No Different than expected,296,0.7,0.4,1.1,Not Applicable,Not Applicable,,01/01/2023,12/31/2023
YES,330094,COLUMBIA MEMORIAL HOSPITAL,71 PROSPECT AVENUE,HUDSON,NY,12534,COLUMBIA,(518) 828-7601,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,1,07/01/2021,06/30/2024
YES,330094,COLUMBIA MEMORIAL HOSPITAL,71 PROSPECT AVENUE,HUDSON,NY,12534,COLUMBIA,(518) 828-7601,READM_30_CABG,Rate of readmission for CABG,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,5,07/01/2021,06/30/2024
YES,330094,COLUMBIA MEMORIAL HOSPITAL,71 PROSPECT AVENUE,HUDSON,NY,12534,COLUMBIA,(518) 828-7601,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,No Different Than the National Rate,105,17.5,14.5,20.9,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330094,COLUMBIA MEMORIAL HOSPITAL,71 PROSPECT AVENUE,HUDSON,NY,12534,COLUMBIA,(518) 828-7601,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,162,20.3,17.0,23.8,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330094,COLUMBIA MEMORIAL HOSPITAL,71 PROSPECT AVENUE,HUDSON,NY,12534,COLUMBIA,(518) 828-7601,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,No Different Than the National Rate,115,5,3.2,7.8,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330094,COLUMBIA MEMORIAL HOSPITAL,71 PROSPECT AVENUE,HUDSON,NY,12534,COLUMBIA,(518) 828-7601,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,No Different Than the National Rate,136,15.9,13.1,19.2,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,331316,"COMMUNITY MEMORIAL HOSPITAL, INC",150 BROAD STREET,HAMILTON,NY,13346,MADISON,(315) 824-1100,EDAC_30_AMI,Hospital return days for heart attack patients,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1,07/01/2021,06/30/2024
YES,331316,"COMMUNITY MEMORIAL HOSPITAL, INC",150 BROAD STREET,HAMILTON,NY,13346,MADISON,(315) 824-1100,EDAC_30_HF,Hospital return days for heart failure patients,Average Days per 100 Discharges,44,-14.4,-35.8,15.3,37,9,,07/01/2021,06/30/2024
YES,331316,"COMMUNITY MEMORIAL HOSPITAL, INC",150 BROAD STREET,HAMILTON,NY,13346,MADISON,(315) 824-1100,EDAC_30_PN,Hospital return days for pneumonia patients,Average Days per 100 Discharges,61,-3.9,-23.6,21.5,55,14,,07/01/2021,06/30/2024
YES,331316,"COMMUNITY MEMORIAL HOSPITAL, INC",150 BROAD STREET,HAMILTON,NY,13346,MADISON,(315) 824-1100,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),No Different Than the National Rate,181,15.3,13.6,17.2,Not Applicable,Not Applicable,,07/01/2023,06/30/2024
YES,331316,"COMMUNITY MEMORIAL HOSPITAL, INC",150 BROAD STREET,HAMILTON,NY,13346,MADISON,(315) 824-1100,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",No Different Than the National Rate,242,12.8,9.2,17.6,Not Applicable,Not Applicable,,01/01/2021,12/31/2023
YES,331316,"COMMUNITY MEMORIAL HOSPITAL, INC",150 BROAD STREET,HAMILTON,NY,13346,MADISON,(315) 824-1100,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,5,01/01/2023,12/31/2023
YES,331316,"COMMUNITY MEMORIAL HOSPITAL, INC",150 BROAD STREET,HAMILTON,NY,13346,MADISON,(315) 824-1100,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,5,01/01/2023,12/31/2023
YES,331316,"COMMUNITY MEMORIAL HOSPITAL, INC",150 BROAD STREET,HAMILTON,NY,13346,MADISON,(315) 824-1100,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,No Different than expected,97,0.8,0.5,1.4,Not Applicable,Not Applicable,,01/01/2023,12/31/2023
YES,331316,"COMMUNITY MEMORIAL HOSPITAL, INC",150 BROAD STREET,HAMILTON,NY,13346,MADISON,(315) 824-1100,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,1,07/01/2021,06/30/2024
YES,331316,"COMMUNITY MEMORIAL HOSPITAL, INC",150 BROAD STREET,HAMILTON,NY,13346,MADISON,(315) 824-1100,READM_30_CABG,Rate of readmission for CABG,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,5,07/01/2021,06/30/2024
YES,331316,"COMMUNITY MEMORIAL HOSPITAL, INC",150 BROAD STREET,HAMILTON,NY,13346,MADISON,(315) 824-1100,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,No Different Than the National Rate,28,17.9,14.3,22.2,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,331316,"COMMUNITY MEMORIAL HOSPITAL, INC",150 BROAD STREET,HAMILTON,NY,13346,MADISON,(315) 824-1100,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,44,19,15.3,23.4,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,331316,"COMMUNITY MEMORIAL HOSPITAL, INC",150 BROAD STREET,HAMILTON,NY,13346,MADISON,(315) 824-1100,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,No Different Than the National Rate,165,4.3,2.7,6.7,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,331316,"COMMUNITY MEMORIAL HOSPITAL, INC",150 BROAD STREET,HAMILTON,NY,13346,MADISON,(315) 824-1100,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,No Different Than the National Rate,61,15.5,12.4,19.2,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330277,CORNING HOSPITAL,1 GUTHRIE DRIVE,CORNING,NY,14830,STEUBEN,(607) 937-7200,EDAC_30_AMI,Hospital return days for heart attack patients,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1,07/01/2021,06/30/2024
YES,330277,CORNING HOSPITAL,1 GUTHRIE DRIVE,CORNING,NY,14830,STEUBEN,(607) 937-7200,EDAC_30_HF,Hospital return days for heart failure patients,More Days Than Average per 100 Discharges,176,36.3,19.1,56.1,149,54,,07/01/2021,06/30/2024
YES,330277,CORNING HOSPITAL,1 GUTHRIE DRIVE,CORNING,NY,14830,STEUBEN,(607) 937-7200,EDAC_30_PN,Hospital return days for pneumonia patients,More Days Than Average per 100 Discharges,221,57.6,42,74.3,193,58,,07/01/2021,06/30/2024
YES,330277,CORNING HOSPITAL,1 GUTHRIE DRIVE,CORNING,NY,14830,STEUBEN,(607) 937-7200,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),No Different Than the National Rate,758,14.5,13.1,16.0,Not Applicable,Not Applicable,,07/01/2023,06/30/2024
YES,330277,CORNING HOSPITAL,1 GUTHRIE DRIVE,CORNING,NY,14830,STEUBEN,(607) 937-7200,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",No Different Than the National Rate,1161,12.7,9.5,16.9,Not Applicable,Not Applicable,,01/01/2021,12/31/2023
YES,330277,CORNING HOSPITAL,1 GUTHRIE DRIVE,CORNING,NY,14830,STEUBEN,(607) 937-7200,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,No Different Than the National Rate,145,10.6,7.7,14.6,Not Applicable,Not Applicable,,01/01/2023,12/31/2023
YES,330277,CORNING HOSPITAL,1 GUTHRIE DRIVE,CORNING,NY,14830,STEUBEN,(607) 937-7200,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,No Different Than the National Rate,145,5.2,3.5,7.9,Not Applicable,Not Applicable,,01/01/2023,12/31/2023
YES,330277,CORNING HOSPITAL,1 GUTHRIE DRIVE,CORNING,NY,14830,STEUBEN,(607) 937-7200,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,No Different than expected,298,0.9,0.6,1.3,Not Applicable,Not Applicable,,01/01/2023,12/31/2023
YES,330277,CORNING HOSPITAL,1 GUTHRIE DRIVE,CORNING,NY,14830,STEUBEN,(607) 937-7200,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,1,07/01/2021,06/30/2024
YES,330277,CORNING HOSPITAL,1 GUTHRIE DRIVE,CORNING,NY,14830,STEUBEN,(607) 937-7200,READM_30_CABG,Rate of readmission for CABG,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,5,07/01/2021,06/30/2024
YES,330277,CORNING HOSPITAL,1 GUTHRIE DRIVE,CORNING,NY,14830,STEUBEN,(607) 937-7200,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,No Different Than the National Rate,62,17.9,14.6,21.7,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330277,CORNING HOSPITAL,1 GUTHRIE DRIVE,CORNING,NY,14830,STEUBEN,(607) 937-7200,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,176,21.6,18.2,25.7,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330277,CORNING HOSPITAL,1 GUTHRIE DRIVE,CORNING,NY,14830,STEUBEN,(607) 937-7200,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,1,07/01/2021,06/30/2024
YES,330277,CORNING HOSPITAL,1 GUTHRIE DRIVE,CORNING,NY,14830,STEUBEN,(607) 937-7200,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,No Different Than the National Rate,221,16.2,13.4,19.4,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330203,CROUSE HOSPITAL,736 IRVING AVENUE,SYRACUSE,NY,13210,ONONDAGA,(315) 470-7449,EDAC_30_AMI,Hospital return days for heart attack patients,Average Days per 100 Discharges,94,4.5,-13.3,25.3,94,22,,07/01/2021,06/30/2024
YES,330203,CROUSE HOSPITAL,736 IRVING AVENUE,SYRACUSE,NY,13210,ONONDAGA,(315) 470-7449,EDAC_30_HF,Hospital return days for heart failure patients,More Days Than Average per 100 Discharges,477,26.9,16,38,386,115,,07/01/2021,06/30/2024
YES,330203,CROUSE HOSPITAL,736 IRVING AVENUE,SYRACUSE,NY,13210,ONONDAGA,(315) 470-7449,EDAC_30_PN,Hospital return days for pneumonia patients,More Days Than Average per 100 Discharges,517,39.9,30.3,50.6,472,113,,07/01/2021,06/30/2024
YES,330203,CROUSE HOSPITAL,736 IRVING AVENUE,SYRACUSE,NY,13210,ONONDAGA,(315) 470-7449,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),No Different Than the National Rate,2617,14.9,13.8,16.0,Not Applicable,Not Applicable,,07/01/2023,06/30/2024
YES,330203,CROUSE HOSPITAL,736 IRVING AVENUE,SYRACUSE,NY,13210,ONONDAGA,(315) 470-7449,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",No Different Than the National Rate,83,12.8,9.4,17.8,Not Applicable,Not Applicable,,01/01/2021,12/31/2023
YES,330203,CROUSE HOSPITAL,736 IRVING AVENUE,SYRACUSE,NY,13210,ONONDAGA,(315) 470-7449,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,1,01/01/2023,12/31/2023
YES,330203,CROUSE HOSPITAL,736 IRVING AVENUE,SYRACUSE,NY,13210,ONONDAGA,(315) 470-7449,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,1,01/01/2023,12/31/2023
YES,330203,CROUSE HOSPITAL,736 IRVING AVENUE,SYRACUSE,NY,13210,ONONDAGA,(315) 470-7449,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,Better than expected,606,0.7,0.5,1,Not Applicable,Not Applicable,,01/01/2023,12/31/2023
YES,330203,CROUSE HOSPITAL,736 IRVING AVENUE,SYRACUSE,NY,13210,ONONDAGA,(315) 470-7449,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,No Different Than the National Rate,94,14,11.2,17.3,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330203,CROUSE HOSPITAL,736 IRVING AVENUE,SYRACUSE,NY,13210,ONONDAGA,(315) 470-7449,READM_30_CABG,Rate of readmission for CABG,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,5,07/01/2021,06/30/2024
YES,330203,CROUSE HOSPITAL,736 IRVING AVENUE,SYRACUSE,NY,13210,ONONDAGA,(315) 470-7449,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,No Different Than the National Rate,151,19.7,16.5,23.5,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330203,CROUSE HOSPITAL,736 IRVING AVENUE,SYRACUSE,NY,13210,ONONDAGA,(315) 470-7449,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,477,19.9,17.2,22.8,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330203,CROUSE HOSPITAL,736 IRVING AVENUE,SYRACUSE,NY,13210,ONONDAGA,(315) 470-7449,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,No Different Than the National Rate,88,5,3.1,7.7,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330203,CROUSE HOSPITAL,736 IRVING AVENUE,SYRACUSE,NY,13210,ONONDAGA,(315) 470-7449,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,No Different Than the National Rate,517,17.8,15.4,20.6,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330203,CROUSE HOSPITAL,736 IRVING AVENUE,SYRACUSE,NY,13210,ONONDAGA,(315) 470-7449,EDAC_30_AMI,Hospital return days for heart attack patients,Average Days per 100 Discharges,94,4.5,-13.3,25.3,94,22,,07/01/2021,06/30/2024
YES,330203,CROUSE HOSPITAL,736 IRVING AVENUE,SYRACUSE,NY,13210,ONONDAGA,(315) 470-7449,EDAC_30_HF,Hospital return days for heart failure patients,More Days Than Average per 100 Discharges,477,26.9,16,38,386,115,,07/01/2021,06/30/2024
YES,330203,CROUSE HOSPITAL,736 IRVING AVENUE,SYRACUSE,NY,13210,ONONDAGA,(315) 470-7449,EDAC_30_PN,Hospital return days for pneumonia patients,More Days Than Average per 100 Discharges,517,39.9,30.3,50.6,472,113,,07/01/2021,06/30/2024
YES,330203,CROUSE HOSPITAL,736 IRVING AVENUE,SYRACUSE,NY,13210,ONONDAGA,(315) 470-7449,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),No Different Than the National Rate,2617,14.9,13.8,16.0,Not Applicable,Not Applicable,,07/01/2023,06/30/2024
YES,330203,CROUSE HOSPITAL,736 IRVING AVENUE,SYRACUSE,NY,13210,ONONDAGA,(315) 470-7449,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",No Different Than the National Rate,83,12.8,9.4,17.8,Not Applicable,Not Applicable,,01/01/2021,12/31/2023
YES,330203,CROUSE HOSPITAL,736 IRVING AVENUE,SYRACUSE,NY,13210,ONONDAGA,(315) 470-7449,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,1,01/01/2023,12/31/2023
YES,330203,CROUSE HOSPITAL,736 IRVING AVENUE,SYRACUSE,NY,13210,ONONDAGA,(315) 470-7449,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,1,01/01/2023,12/31/2023
YES,330203,CROUSE HOSPITAL,736 IRVING AVENUE,SYRACUSE,NY,13210,ONONDAGA,(315) 470-7449,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,Better than expected,606,0.7,0.5,1,Not Applicable,Not Applicable,,01/01/2023,12/31/2023
YES,330203,CROUSE HOSPITAL,736 IRVING AVENUE,SYRACUSE,NY,13210,ONONDAGA,(315) 470-7449,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,No Different Than the National Rate,94,14,11.2,17.3,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330203,CROUSE HOSPITAL,736 IRVING AVENUE,SYRACUSE,NY,13210,ONONDAGA,(315) 470-7449,READM_30_CABG,Rate of readmission for CABG,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,5,07/01/2021,06/30/2024
YES,330203,CROUSE HOSPITAL,736 IRVING AVENUE,SYRACUSE,NY,13210,ONONDAGA,(315) 470-7449,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,No Different Than the National Rate,151,19.7,16.5,23.5,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330203,CROUSE HOSPITAL,736 IRVING AVENUE,SYRACUSE,NY,13210,ONONDAGA,(315) 470-7449,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,No Different Than the National Rate,477,19.9,17.2,22.8,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330203,CROUSE HOSPITAL,736 IRVING AVENUE,SYRACUSE,NY,13210,ONONDAGA,(315) 470-7449,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,No Different Than the National Rate,88,5,3.1,7.7,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,330203,CROUSE HOSPITAL,736 IRVING AVENUE,SYRACUSE,NY,13210,ONONDAGA,(315) 470-7449,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,No Different Than the National Rate,517,17.8,15.4,20.6,Not Applicable,Not Applicable,,07/01/2021,06/30/2024
YES,331301,"CUBA MEMORIAL HOSPITAL, INC",140 WEST MAIN STREET,CUBA,NY,14727,ALLEGANY,(585) 961-2000,EDAC_30_AMI,Hospital return days for heart attack patients,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5,07/01/2021,06/30/2024
YES,331301,"CUBA MEMORIAL HOSPITAL, INC",140 WEST MAIN STREET,CUBA,NY,14727,ALLEGANY,(585) 961-2000,EDAC_30_HF,Hospital return days for heart failure patients,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5,07/01/2021,06/30/2024
YES,331301,"CUBA MEMORIAL HOSPITAL, INC",140 WEST MAIN STREET,CUBA,NY,14727,ALLEGANY,(585) 961-2000,EDAC_30_PN,Hospital return days for pneumonia patients,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,7,07/01/2021,06/30/2024
YES,331301,"CUBA MEMORIAL HOSPITAL, INC",140 WEST MAIN STREET,CUBA,NY,14727,ALLEGANY,(585) 961-2000,Hybrid_HWR,Hybrid Hospital-Wide All-Cause Readmission Measure (HWR),Number of Cases Too Small,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,1,07/01/2023,06/30/2024
YES,331301,"CUBA MEMORIAL HOSPITAL, INC",140 WEST MAIN STREET,CUBA,NY,14727,ALLEGANY,(585) 961-2000,OP_32,"Rate of unplanned hospital visits after colonoscopy (per 1,000 colonoscopies)",Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,5,01/01/2021,12/31/2023
YES,331301,"CUBA MEMORIAL HOSPITAL, INC",140 WEST MAIN STREET,CUBA,NY,14727,ALLEGANY,(585) 961-2000,OP_35_ADM,Rate of inpatient admissions for patients receiving outpatient chemotherapy,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,5,01/01/2023,12/31/2023
YES,331301,"CUBA MEMORIAL HOSPITAL, INC",140 WEST MAIN STREET,CUBA,NY,14727,ALLEGANY,(585) 961-2000,OP_35_ED,Rate of emergency department (ED) visits for patients receiving outpatient chemotherapy,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,5,01/01/2023,12/31/2023
YES,331301,"CUBA MEMORIAL HOSPITAL, INC",140 WEST MAIN STREET,CUBA,NY,14727,ALLEGANY,(585) 961-2000,OP_36,Ratio of unplanned hospital visits after hospital outpatient surgery,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,5,01/01/2023,12/31/2023
YES,331301,"CUBA MEMORIAL HOSPITAL, INC",140 WEST MAIN STREET,CUBA,NY,14727,ALLEGANY,(585) 961-2000,READM_30_AMI,Acute Myocardial Infarction (AMI) 30-Day Readmission Rate,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,5,07/01/2021,06/30/2024
YES,331301,"CUBA MEMORIAL HOSPITAL, INC",140 WEST MAIN STREET,CUBA,NY,14727,ALLEGANY,(585) 961-2000,READM_30_CABG,Rate of readmission for CABG,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,5,07/01/2021,06/30/2024
YES,331301,"CUBA MEMORIAL HOSPITAL, INC",140 WEST MAIN STREET,CUBA,NY,14727,ALLEGANY,(585) 961-2000,READM_30_COPD,Rate of readmission for chronic obstructive pulmonary disease (COPD) patients,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,5,07/01/2021,06/30/2024
YES,331301,"CUBA MEMORIAL HOSPITAL, INC",140 WEST MAIN STREET,CUBA,NY,14727,ALLEGANY,(585) 961-2000,READM_30_HF,Heart failure (HF) 30-Day Readmission Rate,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,5,07/01/2021,06/30/2024
YES,331301,"CUBA MEMORIAL HOSPITAL, INC",140 WEST MAIN STREET,CUBA,NY,14727,ALLEGANY,(585) 961-2000,READM_30_HIP_KNEE,Rate of readmission after hip/knee replacement,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,5,07/01/2021,06/30/2024
YES,331301,"CUBA MEMORIAL HOSPITAL, INC",140 WEST MAIN STREET,CUBA,NY,14727,ALLEGANY,(585) 961-2000,READM_30_PN,Pneumonia (PN) 30-Day Readmission Rate,Not Available,Not Available,Not Available,Not Available,Not Available,Not Applicable,Not Applicable,7,07/01/2021,06/30/2024
