pfi,hospital_name,county,region,unit_name,unit_description,rn_count,rn_hours_per_pt,avg_patients,rn_pts_per_nurse
0397,Oneida Health Hospital,Madison,Central Regional Office,Obstetrics/Gynecology,"OB/GYN/Peds/Nursery located on 3rd floor of
hospital.",4,8,4,1
0397,Oneida Health Hospital,Madison,Central Regional Office,Other,"Ambulatory Procedures - outpatient, short stay
admission and recovery on 4th floor of hospital",1,1,8,8
0397,Oneida Health Hospital,Madison,Central Regional Office,Other,"Post Anesthesia Care Unit - located on 2nd floor of
hospital",3,1.9,12.6,4.2
0397,Oneida Health Hospital,Madison,Central Regional Office,Other,Wound Care Center located on 1st floor of hospital,2,0.64,25,12.5
0397,Oneida Health Hospital,Madison,Central Regional Office,Other,"operating room - 4 rooms located on 2nd floor of
hospital",8,4.57,14,1.75
0397,Oneida Health Hospital,Madison,Central Regional Office,Outpatient Clinics,"Cardiology clinic/ Cardiac testing located on 3rd floor
of hospital",1,0.47,17,17
0401,Community Memorial Hospital Inc,Madison,Central Regional Office,Ambulatory Surgery,"same day surgery; cardiac testing; PACU;
gastroenterology/small procedure room circulators,
treatmen",4,2,16,4
0401,Community Memorial Hospital Inc,Madison,Central Regional Office,Emergency Department,Emergency Services,2.75,1,20,7.2
0401,Community Memorial Hospital Inc,Madison,Central Regional Office,Medical/Surgical,"Medical Surgical Unit: mix of acute, surgical and
swing patients",3,24,21,5.5
0401,Community Memorial Hospital Inc,Madison,Central Regional Office,Other,Operating Room - 4 OR suites,5,2,10,1.5
0401,Community Memorial Hospital Inc,Madison,Central Regional Office,Stepdown,Special Care Unit,1,2,4,4
0409,Highland Hospital,Monroe,Western Regional Office,Ambulatory Surgery,SDSU - Highland Surgical Center,9,3.13,23,2.56
0409,Highland Hospital,Monroe,Western Regional Office,Critical Care,ICU - intensive care /critical care,7,4,14,2
0409,Highland Hospital,Monroe,Western Regional Office,Emergency Department,ED,6,1.85,26,4.33
0409,Highland Hospital,Monroe,Western Regional Office,Endoscopy,HPC - Highland Procedure Center,9,24,3,0.33
0409,Highland Hospital,Monroe,Western Regional Office,Geriatric,"West 4 Acute Care for Elders, medicine",5,1.54,26,5.2
0409,Highland Hospital,Monroe,Western Regional Office,Medical/Surgical,E6 - medicine / palliative care,4,1.6,20,5
0409,Highland Hospital,Monroe,Western Regional Office,Medical/Surgical,"Observation Unit - med-surg, inpatient and observation
patients, short stay surgical",5,1.54,26,5.2
0409,Highland Hospital,Monroe,Western Regional Office,Medical/Surgical,SE 5 - surgical,4,1.6,20,5
0409,Highland Hospital,Monroe,Western Regional Office,Medical/Surgical,SE 7 ortho/neurosurgery/surgical specialty,4,1.6,20,5
0409,Highland Hospital,Monroe,Western Regional Office,Medical/Surgical,West 5 - medicine,5,1.54,26,5.2
0409,Highland Hospital,Monroe,Western Regional Office,Medical/Surgical,West 6 - Medicine,5,1.54,26,5.2
0409,Highland Hospital,Monroe,Western Regional Office,Medical/Surgical,West 7 - Medicine and Complex Care Center,5,1.54,26,5.2
0409,Highland Hospital,Monroe,Western Regional Office,Neonatal,Special Care Nursery SCN,2,1.78,9,4.5
0409,Highland Hospital,Monroe,Western Regional Office,Nuclear Medicine/Radiology,"Medical Imaging: General Imaging, CT, MRI,
Ultrasound, Nuclear Med, Interventional Radiology",9,14.4,5,0.56
0409,Highland Hospital,Monroe,Western Regional Office,Nuclear Medicine/Radiology,UR Breast Imaging at Highland Hospital,0.25,1,2,8
0409,Highland Hospital,Monroe,Western Regional Office,Obstetrics/Gynecology,East 3 - Mother/Baby Unit,6,1.66,29,4.83
0409,Highland Hospital,Monroe,Western Regional Office,Obstetrics/Gynecology,Labor and Delivery,10,8,10,1
0409,Highland Hospital,Monroe,Western Regional Office,Oncology,East 5 oncology / med-surg,4,1.6,20,5
0409,Highland Hospital,Monroe,Western Regional Office,Orthopedics,SE 6 - orthopaedics,4,1.78,18,4.5
0409,Highland Hospital,Monroe,Western Regional Office,Other,"Cardiology - inpatient / outpatient clinic at Highland
Hospital",2,2.29,7,3.5
0409,Highland Hospital,Monroe,Western Regional Office,Other,Emergency Observation Unit (EOU),1,0.62,13,13
0409,Highland Hospital,Monroe,Western Regional Office,Other,Highland Radiation Oncology,2,3.2,5,2.5
0409,Highland Hospital,Monroe,Western Regional Office,Other,Operating Room,17,8,17,1
0409,Highland Hospital,Monroe,Western Regional Office,Other,Post Anesthesia Care Unit (PACU),15,7.06,17,1.13
0409,Highland Hospital,Monroe,Western Regional Office,Outpatient Clinics,Geriatric Ambulatory Medicine clinic - GAMA,0.5,0.25,16,32
0409,Highland Hospital,Monroe,Western Regional Office,Outpatient Clinics,Southeast OB/GYN clinical - POB at Highland,0.5,0.67,6,12
0409,Highland Hospital,Monroe,Western Regional Office,Stepdown,East 7 PCU,5,2.2,18,3.6
0411,Rochester General Hospital,Monroe,Western Regional Office,Cardiac Catheterization/EP,Cath Lab,14,1.86,29,2.07
0411,Rochester General Hospital,Monroe,Western Regional Office,Cardiovascular,4400- Cardiothoracic Surgery,6,2.08,23,3.83
0411,Rochester General Hospital,Monroe,Western Regional Office,Cardiovascular,5100- Cardiac care,7,2.15,26,3.71
0411,Rochester General Hospital,Monroe,Western Regional Office,Cardiovascular,5200- Cardiac care,7,2.15,26,3.71
0411,Rochester General Hospital,Monroe,Western Regional Office,Emergency Department,Adult Emergency Department,20.5,2.05,80,3.9
0411,Rochester General Hospital,Monroe,Western Regional Office,Emergency Department,Pediatric Emergency Department,3.5,1.29,21.6,6.19
0411,Rochester General Hospital,Monroe,Western Regional Office,Intensive Care,CICU- Cardiac Intensive Care Unit,5,5.71,7,1.4
0411,Rochester General Hospital,Monroe,Western Regional Office,Intensive Care,CTICU- Cardiac Thoracic Intensive Care Unit,8,6.4,10,1.25
0411,Rochester General Hospital,Monroe,Western Regional Office,Intensive Care,MICU- Medical Intensive Care Unit,11,5.86,15,1.36
0411,Rochester General Hospital,Monroe,Western Regional Office,Intensive Care,SICU- Surgical Intensive Care Unit,8,6.4,10,1.25
0411,Rochester General Hospital,Monroe,Western Regional Office,Medical/Surgical,2800- Surgical,6,1.54,31,5.17
0411,Rochester General Hospital,Monroe,Western Regional Office,Medical/Surgical,4800- General Medicine,6,1.29,37,6.17
0411,Rochester General Hospital,Monroe,Western Regional Office,Medical/Surgical,5400 - General Surgery,3,1.09,22,7.33
0411,Rochester General Hospital,Monroe,Western Regional Office,Medical/Surgical,5500,3,1.09,22,7.33
0411,Rochester General Hospital,Monroe,Western Regional Office,Medical/Surgical,"5800- General Medicine, Hospice",6,1.29,37,6.17
0411,Rochester General Hospital,Monroe,Western Regional Office,Medical/Surgical,7800- Acute Stroke,9,2,36,4
0411,Rochester General Hospital,Monroe,Western Regional Office,Medical/Surgical,MSU,7,1.75,32,4.57
0411,Rochester General Hospital,Monroe,Western Regional Office,Mental Health Services O/P,G1- Adult Inpatient Psychiatric Care,5,1.6,25,5
0411,Rochester General Hospital,Monroe,Western Regional Office,Neonatal,NICU- Neonatal Intensive Care Unit,5,5,8,1.6
0411,Rochester General Hospital,Monroe,Western Regional Office,Obstetrics/Gynecology,3600- Labor and delivery,7,4.3,13,1.86
0411,Rochester General Hospital,Monroe,Western Regional Office,Obstetrics/Gynecology,Sands 300- Post Partum,5,3.07,13,2.6
0411,Rochester General Hospital,Monroe,Western Regional Office,Oncology,Sands 600- Hematology/Oncology,8,1.88,34,4.25
0411,Rochester General Hospital,Monroe,Western Regional Office,Orthopedics,3800 - Orthopedics,3,2.18,11,3.67
0411,Rochester General Hospital,Monroe,Western Regional Office,Other,6800- General Medicine,5,1.05,38,7.6
0411,Rochester General Hospital,Monroe,Western Regional Office,Other,Day of Surgery Unit,15.5,2.33,53,3.42
0411,Rochester General Hospital,Monroe,Western Regional Office,Other,Gastroenterology,10,3.63,22,2.2
0411,Rochester General Hospital,Monroe,Western Regional Office,Other,IR -Interventional Radiology,10,3.07,26,2.6
0411,Rochester General Hospital,Monroe,Western Regional Office,Other,Operating room,30,4.52,53,1.77
0411,Rochester General Hospital,Monroe,Western Regional Office,Other,PACU,15,2.26,53,3.53
0411,Rochester General Hospital,Monroe,Western Regional Office,Other,Pre-admission Testing,4,0.42,75,18.75
0411,Rochester General Hospital,Monroe,Western Regional Office,Pediatric,2000- Pediatrics,2,2,8,4
0411,Rochester General Hospital,Monroe,Western Regional Office,Stepdown,Medical Step Down Unit,7,3.29,17,2.43
0411,Rochester General Hospital,Monroe,Western Regional Office,Stepdown,Surgical Step Down Unit,8,3.04,21,2.63
0412,Unity Specialty Hospital,Monroe,Western Regional Office,Mental Health Services O/P,4100 Unit: Inpatient Psychiatry,3,1.4,17,5.7
0471,The Unity Hospital of Rochester,Monroe,Western Regional Office,Cardiac Catheterization/EP,Cardiac catheterization,7.5,4.6,13,1.73
0471,The Unity Hospital of Rochester,Monroe,Western Regional Office,Cardiovascular,Non-invasive Cardiology,5,0.72,55,11
0471,The Unity Hospital of Rochester,Monroe,Western Regional Office,Cardiovascular,Special Care Unit,5,1.1,36,7.2
0471,The Unity Hospital of Rochester,Monroe,Western Regional Office,Chemical Dependency,Inpatient Chemical Dependency,3,0.64,37,12.3
0471,The Unity Hospital of Rochester,Monroe,Western Regional Office,Dialysis - Acute,"Acute Dialysis - Inpatient hemodialysis (closed night
shift, Saturday evening, night shift)",5,5,8,1.6
0471,The Unity Hospital of Rochester,Monroe,Western Regional Office,Emergency Department,Emergency Department (ED),12,1.85,52,4.33
0471,The Unity Hospital of Rochester,Monroe,Western Regional Office,Endoscopy,"Endoscopy - Inpatient/ambulatory GI procedures
(7am-7pm Monday-Friday)",11,6.1,14.4,1.3
0471,The Unity Hospital of Rochester,Monroe,Western Regional Office,Intensive Care,ICU - Intensive Care Unit (medical and surgical),11,4.4,20,1.81
0471,The Unity Hospital of Rochester,Monroe,Western Regional Office,Medical/Surgical,2100 Unit - Vascular/Medical/Surgical/Telemetry,3,1.26,19,6.33
0471,The Unity Hospital of Rochester,Monroe,Western Regional Office,Medical/Surgical,2200 Unit - Cardiac /Medical/Surgical/Telemetry,4,1.77,18,4.5
0471,The Unity Hospital of Rochester,Monroe,Western Regional Office,Medical/Surgical,"2300
Unit - Cardiac/Stroke/Medical/Surgical/Telemetry",4,1.68,19,4.75
0471,The Unity Hospital of Rochester,Monroe,Western Regional Office,Medical/Surgical,3300 Unit - Neurosurgery /Medical/Surgical/Telemetry,5,2.1,19,3.8
0471,The Unity Hospital of Rochester,Monroe,Western Regional Office,Medical/Surgical,"3400 Unit - General Surgery
/Medical/Surgical/Telemetry",5,2.1,19,3.8
0471,The Unity Hospital of Rochester,Monroe,Western Regional Office,Medical/Surgical,4100 Unit - Pulmonary/Medical/Surgical/Telemetry,4,1.68,19,4.75
0471,The Unity Hospital of Rochester,Monroe,Western Regional Office,Medical/Surgical,4200 Unit - Pulmonary/Medical/Surgical/Telemetry,4,1.77,18,4.5
0471,The Unity Hospital of Rochester,Monroe,Western Regional Office,Medical/Surgical,"4300 Unit - General Medical
/Medical/Surgical/Telemetry",4,1.77,18,4.5
0471,The Unity Hospital of Rochester,Monroe,Western Regional Office,Neonatal,Special Care Nursery (SCN)- Newborn Nursery,5,4,10,2
0471,The Unity Hospital of Rochester,Monroe,Western Regional Office,Obstetrics/Gynecology,Family Birthplace (FBP)- Obststric/maternity,10,3.81,21,2.1
0471,The Unity Hospital of Rochester,Monroe,Western Regional Office,Oncology,4400 Unit - Oncology /Medical/Surgical/Telemetry,5,2.2,18,3.6
0471,The Unity Hospital of Rochester,Monroe,Western Regional Office,Orthopedics,3100 Unit - Orthopedic /Medical/Surgical,3,1.5,16,5.33
0471,The Unity Hospital of Rochester,Monroe,Western Regional Office,Orthopedics,3200 Unit - Orthopedic /Medical/Surgical/Telemetry,4.5,2.25,16,3.55
0471,The Unity Hospital of Rochester,Monroe,Western Regional Office,Other,2600 Unit - Observation Unit,6,1.77,27,3.85
0471,The Unity Hospital of Rochester,Monroe,Western Regional Office,Other,Extended Stay PACU,1,1.6,5,5
0471,The Unity Hospital of Rochester,Monroe,Western Regional Office,Other,GI Overflow,5,2.2,18,3.6
0471,The Unity Hospital of Rochester,Monroe,Western Regional Office,Other,Interventional Radiology Lab,3.5,1.86,15,4.28
0471,The Unity Hospital of Rochester,Monroe,Western Regional Office,Other,Operating Room (OR),14,2.9,38.2,2.73
0471,The Unity Hospital of Rochester,Monroe,Western Regional Office,Other,"Pre-Anesthesia (Pre-An), Post-Anesthesia Care Unit
(PACU)",8.5,2.04,38.2,4.49
0471,The Unity Hospital of Rochester,Monroe,Western Regional Office,Other,Surgical Pre-Testing - Day Shift Monday-Friday only,6,1.26,38,6.33
0471,The Unity Hospital of Rochester,Monroe,Western Regional Office,Other,TCC Surge,2,2.3,7,3.5
0471,The Unity Hospital of Rochester,Monroe,Western Regional Office,Rehabilitaion,3600 Unit - Brain Injury Rehabilitation,5,1.6,25,5
0471,The Unity Hospital of Rochester,Monroe,Western Regional Office,Stepdown,"2400 Unit - Intensive Nursing Care Unit
(INCU) / Telemetry/ Step-down",4,2.66,12,3
0471,The Unity Hospital of Rochester,Monroe,Western Regional Office,Telemetry,2700 - Medical Surgical Telemetry,6,2.18,22,3.66
0482,St Mary's Healthcare - Amsterdam Memorial Campus,Montgomery,Capital District Regional Office,Chemical Dependency,"The unit provides a structured and medically
supervised for chemical dependency recovery.",2,1,14,7
0482,St Mary's Healthcare - Amsterdam Memorial Campus,Montgomery,Capital District Regional Office,Outpatient Clinics,"Methadone outpatient clinic providing methadone
dosing to clients",2,4,140,70
0482,St Mary's Healthcare - Amsterdam Memorial Campus,Montgomery,Capital District Regional Office,Rehabilitaion,Acute Medical Rehabilitation Unit,2,1.6,10,5
0484,St Mary's Healthcare,Montgomery,Capital District Regional Office,Ambulatory Surgery,"Same day surgery & procedures, prepares
out-patients for interventional Medical Imaging,
infusions",9,1.8,40,4.4
0484,St Mary's Healthcare,Montgomery,Capital District Regional Office,Emergency Department,"Rural ER, 26,000 visits annually located on the second
floor of hospital that is ground level",3.5,1.04,27,4
0484,St Mary's Healthcare,Montgomery,Capital District Regional Office,Intensive Care,Intensive Care Unit located on second floor.,3,4.8,6,2
0484,St Mary's Healthcare,Montgomery,Capital District Regional Office,Medical/Surgical,Maria Hall Medical Surgical,5,2,20,5
0484,St Mary's Healthcare,Montgomery,Capital District Regional Office,Medical/Surgical,St Theresa Medical Surgical,5,2,20,5
0484,St Mary's Healthcare,Montgomery,Capital District Regional Office,Obstetrics/Gynecology,Maternity located on the fourth floor.,3,8,3,1
0484,St Mary's Healthcare,Montgomery,Capital District Regional Office,Other,"Operating Room located on the second floor of the
hospital",7,1.2,47,6.7
0484,St Mary's Healthcare,Montgomery,Capital District Regional Office,Psychiatry,"Behavioral Health in-patient unit located on the third
floor.",2,1.07,15,7.5
0490,Glen Cove Hospital,Nassau,Metropolitan Area Regional Office,Ambulatory Surgery,"Ambulatory Surgery Pre OP 14 Bays Glen Cove’s
Ambulatory Surgical Unit (ASU) Open 5 days",2,1.07,14,7
0490,Glen Cove Hospital,Nassau,Metropolitan Area Regional Office,Critical Care,CCU,3,3.75,6,2
0490,Glen Cove Hospital,Nassau,Metropolitan Area Regional Office,Dialysis - Acute,"This is a 3-stations unit that provides dialysis services
to inpatient patients six days a week 8am",1,1.67,2,2
0490,Glen Cove Hospital,Nassau,Metropolitan Area Regional Office,Emergency Department,"Emergency Department at Glen Cove seeing an
average of 60 patients a day",4,1.43,20,4
0490,Glen Cove Hospital,Nassau,Metropolitan Area Regional Office,Endoscopy,"2 Procedure Room Endoscopy Suite, 2
pre-admissions bay, and 3 recovery bays",4,3.75,7,2
0490,Glen Cove Hospital,Nassau,Metropolitan Area Regional Office,Medical/Surgical,2 South/ Geriatrics/ Telemetry,2,1.07,14,7
0490,Glen Cove Hospital,Nassau,Metropolitan Area Regional Office,Medical/Surgical,2 surg,2,1.07,14,7
0490,Glen Cove Hospital,Nassau,Metropolitan Area Regional Office,Other,Operating Room open M-F,7,5.83,9,1.29
0490,Glen Cove Hospital,Nassau,Metropolitan Area Regional Office,Other,"PACU 8 Bays Glen Cove’s Post-Anesthesia Care Unit
(PACU), consist of 8 bays.",3,2.25,10,3.33
0490,Glen Cove Hospital,Nassau,Metropolitan Area Regional Office,Other,"Radiology services to support both inpatient and
inpatient services",1,1.5,5,5
0490,Glen Cove Hospital,Nassau,Metropolitan Area Regional Office,Outpatient Clinics,"Family Practice provides ambulatory services to an
average of 60 patients per day. Open 5 Day shifts",2.8,0.3,40,14.29
0490,Glen Cove Hospital,Nassau,Metropolitan Area Regional Office,Rehabilitaion,1 South,5,0.94,40,8
0490,Glen Cove Hospital,Nassau,Metropolitan Area Regional Office,Rehabilitaion,3 South,3,1.07,21,7
0490,Glen Cove Hospital,Nassau,Metropolitan Area Regional Office,Rehabilitaion,Brain Injury Unit,3,1.07,21,7
0490,Glen Cove Hospital,Nassau,Metropolitan Area Regional Office,Telemetry,3 East,2,1.07,14,7
0511,NYU Langone Hospital-Long Island,Nassau,Metropolitan Area Regional Office,Ambulatory Surgery,NYU Langone Long Island OR ASU 1st Floor,8.9,5.7,29,3.2
0511,NYU Langone Hospital-Long Island,Nassau,Metropolitan Area Regional Office,Ambulatory Surgery,NYU Long Island ASC OR,6.9,4.5,24.4,3.5
0511,NYU Langone Hospital-Long Island,Nassau,Metropolitan Area Regional Office,Cardiac Catheterization/EP,Cath/EP/TILT/TEE/Recovery,26.1,8.8,23.8,0.9
0511,NYU Langone Hospital-Long Island,Nassau,Metropolitan Area Regional Office,Dialysis - Acute,LI NW 3 MB 3400 NEPHR,3,5.5,12,2
0511,NYU Langone Hospital-Long Island,Nassau,Metropolitan Area Regional Office,Emergency Department,LI NW 1 EMERGENCY DEPT,28,2.6,76.1,2.72
0511,NYU Langone Hospital-Long Island,Nassau,Metropolitan Area Regional Office,Endoscopy,NYU Long Island Endo 1st Floor,6,3.2,26,4.3
0511,NYU Langone Hospital-Long Island,Nassau,Metropolitan Area Regional Office,Intensive Care,Intensive Care - LI Cardiac Surgical ICU,11.7,5.97,15.7,1.34
0511,NYU Langone Hospital-Long Island,Nassau,Metropolitan Area Regional Office,Intensive Care,Intensive Care - LI MICU Hoag 3,8.9,4.47,16,1.8
0511,NYU Langone Hospital-Long Island,Nassau,Metropolitan Area Regional Office,Intensive Care,Intensive Care - LI Neuro ICU,5.4,4.27,10.1,1.9
0511,NYU Langone Hospital-Long Island,Nassau,Metropolitan Area Regional Office,Intensive Care,LI MB4A,3.3,5.03,5.3,1.59
0511,NYU Langone Hospital-Long Island,Nassau,Metropolitan Area Regional Office,Intensive Care,Pediatric ICU - LI Pediatric ICU,4.2,5.98,5.6,1.34
0511,NYU Langone Hospital-Long Island,Nassau,Metropolitan Area Regional Office,Medical/Surgical,Medical / Surgical - Chest Pain Unit,2.53,2.06,9.8,3.87
0511,NYU Langone Hospital-Long Island,Nassau,Metropolitan Area Regional Office,Medical/Surgical,Medical / Surgical - LI Gardner 2 - Short Stay,7,2.07,27.2,3.9
0511,NYU Langone Hospital-Long Island,Nassau,Metropolitan Area Regional Office,Medical/Surgical,Medical / Surgical - LI Gardner 3,8.1,2.1,30.7,3.81
0511,NYU Langone Hospital-Long Island,Nassau,Metropolitan Area Regional Office,Medical/Surgical,Medical / Surgical - LI Gardner 4,8.2,2.1,31.2,3.81
0511,NYU Langone Hospital-Long Island,Nassau,Metropolitan Area Regional Office,Medical/Surgical,Medical / Surgical - LI Hoag 2 - Neuro,4.7,2.13,17.7,3.76
0511,NYU Langone Hospital-Long Island,Nassau,Metropolitan Area Regional Office,Medical/Surgical,Medical / Surgical - LI Hoag 5,8.4,2.07,32.6,3.87
0511,NYU Langone Hospital-Long Island,Nassau,Metropolitan Area Regional Office,Medical/Surgical,Medical / Surgical - LI Hoag 6,8.1,2.07,31.5,3.87
0511,NYU Langone Hospital-Long Island,Nassau,Metropolitan Area Regional Office,Medical/Surgical,Medical / Surgical - LI Main 3,5.8,1.81,25.6,4.43
0511,NYU Langone Hospital-Long Island,Nassau,Metropolitan Area Regional Office,Medical/Surgical,Medical / Surgical - LI North 3 - Bariatric Ortho,10.68,2.14,40,3.75
0511,NYU Langone Hospital-Long Island,Nassau,Metropolitan Area Regional Office,Medical/Surgical,Medical / Surgical - LI Potter 3,6.5,1.81,0.7,4.43
0511,NYU Langone Hospital-Long Island,Nassau,Metropolitan Area Regional Office,Neonatal,Neonatal Intensive/Intermediate Care - LI NICU,15,4.13,29.1,1.94
0511,NYU Langone Hospital-Long Island,Nassau,Metropolitan Area Regional Office,Nuclear Medicine/Radiology,IR/MRI/CT Scan/PET/Nuc Med,16.25,0.8,157.18,9.7
0511,NYU Langone Hospital-Long Island,Nassau,Metropolitan Area Regional Office,Obstetrics/Gynecology,Maternity - LI Mother / Baby,10.5,1.33,45.1,4.3
0511,NYU Langone Hospital-Long Island,Nassau,Metropolitan Area Regional Office,Obstetrics/Gynecology,Maternity - NSG-Delivery Room,12.7,7.73,13.2,1.04
0511,NYU Langone Hospital-Long Island,Nassau,Metropolitan Area Regional Office,Oncology,Medical / Surgical - LI Hoag 1,9.2,2.23,33,3.58
0511,NYU Langone Hospital-Long Island,Nassau,Metropolitan Area Regional Office,Other,LI NW 1 ASU PACU,8.9,2.9,24.3,2.7
0511,NYU Langone Hospital-Long Island,Nassau,Metropolitan Area Regional Office,Other,LI NW 1 MB ENDO PREPOST,5.4,1.6,27.5,5.1
0511,NYU Langone Hospital-Long Island,Nassau,Metropolitan Area Regional Office,Other,LI NW 4 MB Main Pacu,17.7,7.4,19.1,1.1
0511,NYU Langone Hospital-Long Island,Nassau,Metropolitan Area Regional Office,Other,LI NW ASC PACU,10.9,3.6,24.4,2.2
0511,NYU Langone Hospital-Long Island,Nassau,Metropolitan Area Regional Office,Other,NYU Long Island 4th Floor OR,13,4.3,21.6,1.7
0511,NYU Langone Hospital-Long Island,Nassau,Metropolitan Area Regional Office,Pediatric,Pediatric - LI Pediatrics,6.3,2.87,17.7,2.79
0511,NYU Langone Hospital-Long Island,Nassau,Metropolitan Area Regional Office,Stepdown,Medical / Surgical - LI North 4 - Stepdown,6.6,2.14,24.7,3.75
0513,Mercy Hospital,Nassau,Metropolitan Area Regional Office,Ambulatory Surgery,Pre and Post surgical care,5,1.54,26,5.2
0513,Mercy Hospital,Nassau,Metropolitan Area Regional Office,Cardiac Catheterization/EP,Interventional Cardiac Catheterization Lab,2,8,2,1
0513,Mercy Hospital,Nassau,Metropolitan Area Regional Office,Critical Care,Intensive Care Unit,5,4.3,9.3,1.86
0513,Mercy Hospital,Nassau,Metropolitan Area Regional Office,Dialysis - Acute,Hemodialysis inpatient,2,2.67,6,3
0513,Mercy Hospital,Nassau,Metropolitan Area Regional Office,Emergency Department,Emergency Department,9,2.06,35,3.89
0513,Mercy Hospital,Nassau,Metropolitan Area Regional Office,Endoscopy,Inpatient and Outpatient Endoscopy procedures,11,7.33,12,1.09
0513,Mercy Hospital,Nassau,Metropolitan Area Regional Office,Infusion Services,Outpatient infusion services,4,1.23,26,6.5
0513,Mercy Hospital,Nassau,Metropolitan Area Regional Office,Medical/Surgical,1 North,6,1.46,32.95,5.49
0513,Mercy Hospital,Nassau,Metropolitan Area Regional Office,Neonatal,Neonatal Intensive Care Unit (NICU),2,4,4,2
0513,Mercy Hospital,Nassau,Metropolitan Area Regional Office,Obstetrics/Gynecology,Labor & Delivery,4,6.4,5,1.25
0513,Mercy Hospital,Nassau,Metropolitan Area Regional Office,Obstetrics/Gynecology,Mother/Baby Unit,2,2.8,5.72,2.86
0513,Mercy Hospital,Nassau,Metropolitan Area Regional Office,Other,3P Post Surgical Care Unit,2,2.65,6.04,3.02
0513,Mercy Hospital,Nassau,Metropolitan Area Regional Office,Other,4 North Surgery,3,1.71,14.06,4.69
0513,Mercy Hospital,Nassau,Metropolitan Area Regional Office,Other,Clinical Decision Unit,1,1.33,6,6
0513,Mercy Hospital,Nassau,Metropolitan Area Regional Office,Other,"Maternal Fetal Medicine - open Tuesdays and
Thursdays",2,0.8,20,10
0513,Mercy Hospital,Nassau,Metropolitan Area Regional Office,Other,Operating Room,10,4.44,18,1.8
0513,Mercy Hospital,Nassau,Metropolitan Area Regional Office,Other,Pain Management,9,3.6,20,2.22
0513,Mercy Hospital,Nassau,Metropolitan Area Regional Office,Other,Post Anesthesia Care Unit,7,2.8,20,2.86
0513,Mercy Hospital,Nassau,Metropolitan Area Regional Office,Other,Pre-surgical testing,3,1.14,21,7
0513,Mercy Hospital,Nassau,Metropolitan Area Regional Office,Other,"Special Procedures including nuclear medicine and
IR",4,5.33,6,1.5
0513,Mercy Hospital,Nassau,Metropolitan Area Regional Office,Other,Wound Care Center HBO,2,0.96,16.7,8.35
0513,Mercy Hospital,Nassau,Metropolitan Area Regional Office,Outpatient Clinics,Multispecialty Family Care Center,4,0.64,50,10
0513,Mercy Hospital,Nassau,Metropolitan Area Regional Office,Psychiatry,3K Behavioral Health Unit,4,1.1,26.67,6.67
0513,Mercy Hospital,Nassau,Metropolitan Area Regional Office,Psychiatry,"Expert behavioral health liaisons to perform intake of
admissions.",1,1,8,8
0513,Mercy Hospital,Nassau,Metropolitan Area Regional Office,Psychiatry,Inpatient and Outpatient Electroconvulsive Therapy,2,4,4,2
0513,Mercy Hospital,Nassau,Metropolitan Area Regional Office,Rehabilitaion,3 North Rehab Unit,5,1.18,32,8
0513,Mercy Hospital,Nassau,Metropolitan Area Regional Office,Stepdown,Intermediate Care Unit (IMCU),5,2.12,18.89,3.78
0513,Mercy Hospital,Nassau,Metropolitan Area Regional Office,Telemetry,2 North Telemetry,6,1.45,33.03,5.51
0518,Long Island Jewish Valley Stream,Nassau,Metropolitan Area Regional Office,Ambulatory Surgery,"Ambulatory Surgery Unit located on 1st Floor
Outpatient / Inpatient",6,1.31,16,3
0518,Long Island Jewish Valley Stream,Nassau,Metropolitan Area Regional Office,Critical Care,"ICU/CCU are our critical care units. They are
connected and continuous. 2nd floor hospital",6,4,12,2
0518,Long Island Jewish Valley Stream,Nassau,Metropolitan Area Regional Office,Dialysis - Acute,"Dialysis Unit on ground floor, providing inpatient
dialysis at bedside and in the unit.",1,2.6,3,2
0518,Long Island Jewish Valley Stream,Nassau,Metropolitan Area Regional Office,Emergency Department,"ED located on ground floor. Providing emergency
care to adult and pediatric population.",10,1.44,47,6
0518,Long Island Jewish Valley Stream,Nassau,Metropolitan Area Regional Office,Medical/Surgical,"1B is located on 1st floor, 35 bed unit Medical
Surgical patients, NICHE unit.",4,1.14,28,7
0518,Long Island Jewish Valley Stream,Nassau,Metropolitan Area Regional Office,Medical/Surgical,"1E is a 27 bed medical-surgical unit on 1st floor,
general surgery, bariatric surgery, and medical.",3,1.14,21,7
0518,Long Island Jewish Valley Stream,Nassau,Metropolitan Area Regional Office,Medical/Surgical,"2C is a 34 bed Telemetry unit on 2nd floor. Cardiac,
Stroke, Medical/Surgical services",5,1.33,30,6
0518,Long Island Jewish Valley Stream,Nassau,Metropolitan Area Regional Office,Medical/Surgical,"2E is a 31 bed Medical Surgical unit on the 2nd floor
of the hospital.",4,1.14,28,7
0518,Long Island Jewish Valley Stream,Nassau,Metropolitan Area Regional Office,Nuclear Medicine/Radiology,"Nuclear Medicine/Radiology/Interventional Radiology/
located on ground floor.",3,4.2,5,2
0518,Long Island Jewish Valley Stream,Nassau,Metropolitan Area Regional Office,Orthopedics,"2W is a 18 bed Surgical/Orthopedic unit on the 2nd
floor of the hospital",2,1.33,12,6
0518,Long Island Jewish Valley Stream,Nassau,Metropolitan Area Regional Office,Other,"Operating Room and Endoscopy located on first floor
of the hospital. Inpatient/Outpatient.",9,2.25,16,4
