pfi,hospital_name,county,region,unit_name,unit_description,day_UNLICENSED_count,day_UNLICENSED_hours_per_pt,evening_UNLICENSED_count,evening_UNLICENSED_hours_per_pt,night_UNLICENSED_count,night_UNLICENSED_hours_per_pt
0511,NYU Langone Hospital-Long Island,Nassau,Metropolitan Area Regional Office,Medical/Surgical,Medical / Surgical - LI Gardner 3,3,0.77,2.95,0.9,3,0.78
0511,NYU Langone Hospital-Long Island,Nassau,Metropolitan Area Regional Office,Medical/Surgical,Medical / Surgical - LI Gardner 4,3,0.77,3.49,0.9,3,0.77
0511,NYU Langone Hospital-Long Island,Nassau,Metropolitan Area Regional Office,Medical/Surgical,Medical / Surgical - LI Hoag 2 - Neuro,2,0.9,2,0.9,2,0.9
0511,NYU Langone Hospital-Long Island,Nassau,Metropolitan Area Regional Office,Medical/Surgical,Medical / Surgical - LI Hoag 5,3,0.74,3,0.74,3,0.74
0511,NYU Langone Hospital-Long Island,Nassau,Metropolitan Area Regional Office,Medical/Surgical,Medical / Surgical - LI Hoag 6,3,0.76,3,0.74,3,0.76
0511,NYU Langone Hospital-Long Island,Nassau,Metropolitan Area Regional Office,Medical/Surgical,Medical / Surgical - LI Main 3,4,1.25,2.42,0.77,4,1.25
0511,NYU Langone Hospital-Long Island,Nassau,Metropolitan Area Regional Office,Medical/Surgical,Medical / Surgical - LI North 3 - Bariatric Ortho,4,0.8,4,0.8,4,0.8
0511,NYU Langone Hospital-Long Island,Nassau,Metropolitan Area Regional Office,Medical/Surgical,Medical / Surgical - LI Potter 3,3,0.84,3,0.84,3,0.84
0511,NYU Langone Hospital-Long Island,Nassau,Metropolitan Area Regional Office,Medical/Surgical,Intensive Care - LI MICU Hoag 3,,,,,1,0.51
0511,NYU Langone Hospital-Long Island,Nassau,Metropolitan Area Regional Office,Medical/Surgical,Medical / Surgical - LI Gardner 2,,,,,3,0.88
0511,NYU Langone Hospital-Long Island,Nassau,Metropolitan Area Regional Office,Medical/Surgical,Medical / Surgical - LI North 4,,,,,3,0.97
0513,Mercy Hospital,Nassau,Metropolitan Area Regional Office,Critical Care,Intensive Care Unit,1,0.86,1,0.86,1,1
0513,Mercy Hospital,Nassau,Metropolitan Area Regional Office,Emergency Department,Emergency Department,4,0.91,5,0.8,4,1.28
0513,Mercy Hospital,Nassau,Metropolitan Area Regional Office,Medical/Surgical,1 North,4,0.97,4,0.97,4,0.97
0518,Long Island Jewish Valley Stream,Nassau,Metropolitan Area Regional Office,Critical Care,"ICU/CCU are our critical care units. They are
connected and continuous. 2nd floor hospital",1,0.66,1,0.66,1,0.66
0518,Long Island Jewish Valley Stream,Nassau,Metropolitan Area Regional Office,Emergency Department,"ED located on ground floor. Providing emergency
care to adult and pediatric population.",5,0.85,6,0.97,5,2
0518,Long Island Jewish Valley Stream,Nassau,Metropolitan Area Regional Office,Medical/Surgical,"1B is located on 1st floor, 35 bed unit Medical
Surgical patients, NICHE unit.",3,0.85,3,0.85,3,0.85
0518,Long Island Jewish Valley Stream,Nassau,Metropolitan Area Regional Office,Medical/Surgical,"1E is a 27 bed medical-surgical unit on 1st floor,
general surgery, bariatric surgery, and medical.",3,1.14,3,1.14,3,1.14
0518,Long Island Jewish Valley Stream,Nassau,Metropolitan Area Regional Office,Medical/Surgical,"2C is a 34 bed Telemetry unit on 2nd floor. Cardiac,
Stroke, Medical/Surgical services",3,0.8,,,,
0518,Long Island Jewish Valley Stream,Nassau,Metropolitan Area Regional Office,Medical/Surgical,"2E is a 31 bed Medical Surgical unit on the 2nd floor
of the hospital.",3,0.85,3,0.85,,
0518,Long Island Jewish Valley Stream,Nassau,Metropolitan Area Regional Office,Medical/Surgical,"2E is a 31 bed Medical/Surgical unit on the 2nd floor
of the hospital Peritoneal Dialysis",,,,,3,0.85
0527,Mount Sinai South Nassau,Nassau,Metropolitan Area Regional Office,Critical Care,CCU Critical Care,1,0.62,1,0.62,1,0.62
0527,Mount Sinai South Nassau,Nassau,Metropolitan Area Regional Office,Critical Care,ICU Intensive Care,1,0.75,,,1,0.75
0527,Mount Sinai South Nassau,Nassau,Metropolitan Area Regional Office,Emergency Department,ED Oceanside,8,0,8,0,8,0
0527,Mount Sinai South Nassau,Nassau,Metropolitan Area Regional Office,Medical/Surgical,D1 Med Surg,5,1.04,5,1.04,4,0.83
0527,Mount Sinai South Nassau,Nassau,Metropolitan Area Regional Office,Medical/Surgical,D2E Heart Failure,5,1.04,5,1.04,4,0.83
0527,Mount Sinai South Nassau,Nassau,Metropolitan Area Regional Office,Medical/Surgical,D2W Tele-Stroke,5,1.04,5,1.04,4,0.83
0527,Mount Sinai South Nassau,Nassau,Metropolitan Area Regional Office,Medical/Surgical,E2- Surgical,5,1.04,4,0.83,,
0527,Mount Sinai South Nassau,Nassau,Metropolitan Area Regional Office,Medical/Surgical,F1 - Progressive Surgical,3,0.97,3,0.97,3,0.97
0527,Mount Sinai South Nassau,Nassau,Metropolitan Area Regional Office,Medical/Surgical,G2 Med/Surg,5,1.38,5,1.38,,
0527,Mount Sinai South Nassau,Nassau,Metropolitan Area Regional Office,Critical Care,ICU - Intensive Care,,,1,0.75,,
0527,Mount Sinai South Nassau,Nassau,Metropolitan Area Regional Office,Medical/Surgical,F3- Med/Surg Oncology,,,5,0.98,,
0527,Mount Sinai South Nassau,Nassau,Metropolitan Area Regional Office,Medical/Surgical,E2-Surgical,,,,,4,0.83
0527,Mount Sinai South Nassau,Nassau,Metropolitan Area Regional Office,Medical/Surgical,F3-Med/Surg Oncology,,,,,4,0.78
0527,Mount Sinai South Nassau,Nassau,Metropolitan Area Regional Office,Medical/Surgical,G2 Med /Surg,,,,,4,1.11
0528,Nassau University Medical Center,Nassau,Metropolitan Area Regional Office,Critical Care,"Coronary Care Unit, DCB 2nd Floor",1,1.4,0,1.4,1,1.4
0528,Nassau University Medical Center,Nassau,Metropolitan Area Regional Office,Critical Care,"Hyperbaric, DCB 2nd Floor",3,5.25,,,,
0528,Nassau University Medical Center,Nassau,Metropolitan Area Regional Office,Critical Care,"Medical Intensive Care Unit, DCB 2nd Floor",2,1.27,0,1.27,2,1.27
0528,Nassau University Medical Center,Nassau,Metropolitan Area Regional Office,Critical Care,"Surgical Intensive Care, DCB 2nd Floor",1,0.88,1,0.88,1,0.88
0528,Nassau University Medical Center,Nassau,Metropolitan Area Regional Office,Critical Care,"Surgical Post-Acute, DCB 2nd Floor",1,1.75,1,1.75,1,1.75
0528,Nassau University Medical Center,Nassau,Metropolitan Area Regional Office,Emergency Department,"Emergency Department, DCB 1st Floor",8,0.98,8,0.72,8,1.81
0528,Nassau University Medical Center,Nassau,Metropolitan Area Regional Office,Medical/Surgical,"Dialysis, DCB 5th Floor",0,0,0,0,,
0528,Nassau University Medical Center,Nassau,Metropolitan Area Regional Office,Medical/Surgical,"Medical Surgical Service, DCB 18th Floor",4,1,4,1,4,1
0528,Nassau University Medical Center,Nassau,Metropolitan Area Regional Office,Medical/Surgical,"Medical Surgical Service, DCB 9 West",5,0.95,5,0.95,5,0.95
0528,Nassau University Medical Center,Nassau,Metropolitan Area Regional Office,Medical/Surgical,"Orthopedics/Spine, DCB 9 East",1,1.4,1,1.4,1,1.4
0528,Nassau University Medical Center,Nassau,Metropolitan Area Regional Office,Medical/Surgical,"Physical Medicine and Rehabilitation, DCB 5th Floor",2,1.08,2,1.08,2,1.08
0528,Nassau University Medical Center,Nassau,Metropolitan Area Regional Office,Medical/Surgical,"Pulmonary Care Unit, DCB 7th Floor",4,1.04,4,1.04,4,1.04
0528,Nassau University Medical Center,Nassau,Metropolitan Area Regional Office,Medical/Surgical,"Surgery, DCB 11 East",3,0.75,3,0.75,3,0.75
0528,Nassau University Medical Center,Nassau,Metropolitan Area Regional Office,Medical/Surgical,"Telemetry, DCB 11 West",3,0.95,3,0.95,3,0.95
0541,North Shore University Hospital,Nassau,Metropolitan Area Regional Office,Critical Care,Cardiac Intensive Care Unit,1,0.67,1,0.67,1,0.67
0541,North Shore University Hospital,Nassau,Metropolitan Area Regional Office,Critical Care,Cardiothoracic Intensive Care Unit,1,0.4,1,0.4,1,0.4
0541,North Shore University Hospital,Nassau,Metropolitan Area Regional Office,Critical Care,Medical Intensive Care Unit,1,0.53,1,0.53,1,0.5
0541,North Shore University Hospital,Nassau,Metropolitan Area Regional Office,Critical Care,Neurosurgical Intensive Care Unit,1,0.5,1,0.5,1,0.5
0541,North Shore University Hospital,Nassau,Metropolitan Area Regional Office,Critical Care,Surgical Intensive Care Unit,1,0.47,1,0.47,1,0.47
0541,North Shore University Hospital,Nassau,Metropolitan Area Regional Office,Emergency Department,Emergency Room (M-F),5,0.49,5,0.49,5,0.49
0541,North Shore University Hospital,Nassau,Metropolitan Area Regional Office,Emergency Department,Emergency Room (Sat-Sun),5,0.49,5,0.49,5,0.49
0541,North Shore University Hospital,Nassau,Metropolitan Area Regional Office,Medical/Surgical,2 Monti,4,0.89,4,0.89,3,0.67
0541,North Shore University Hospital,Nassau,Metropolitan Area Regional Office,Medical/Surgical,3 Cohen,4,0.8,4,0.8,3,0.6
0541,North Shore University Hospital,Nassau,Metropolitan Area Regional Office,Medical/Surgical,4 DSU,3,0.6,3,0.6,3,0.6
0541,North Shore University Hospital,Nassau,Metropolitan Area Regional Office,Medical/Surgical,4 Tower/ 5 Surge,1,0.5,1,0.5,1,0.5
0541,North Shore University Hospital,Nassau,Metropolitan Area Regional Office,Medical/Surgical,5 Katz Surg,1,0.8,1,0.8,1,0.8
0541,North Shore University Hospital,Nassau,Metropolitan Area Regional Office,Medical/Surgical,5 Monti,5,0.91,5,0.91,5,0.91
0541,North Shore University Hospital,Nassau,Metropolitan Area Regional Office,Medical/Surgical,5 Tower,1,0.44,1,0.44,1,0.44
0541,North Shore University Hospital,Nassau,Metropolitan Area Regional Office,Medical/Surgical,8 Monti,4,0.89,4,0.89,3,0.67
0541,North Shore University Hospital,Nassau,Metropolitan Area Regional Office,Medical/Surgical,8 Tower,2,0.89,2,0.89,2,0.89
0541,North Shore University Hospital,Nassau,Metropolitan Area Regional Office,Medical/Surgical,9 Monti,3,0.8,3,0.8,3,0.8
0541,North Shore University Hospital,Nassau,Metropolitan Area Regional Office,Medical/Surgical,9 Tower,1,0.67,1,0.67,1,0.67
0541,North Shore University Hospital,Nassau,Metropolitan Area Regional Office,Critical Care,Neonatal Intensive Care Unit,,,0,0,,
0550,Syosset Hospital,Nassau,Metropolitan Area Regional Office,Emergency Department,"The Emergency Department (ED) is a 14 bed unit with
average daily census of 42 and a 15% admit rate.",1,0.5,,,,
0550,Syosset Hospital,Nassau,Metropolitan Area Regional Office,Intensive Care,"ICU caring for acute critical patients requiring multiple
complex modalities, 4th floor",1,2.6,1,2.6,0,0
0550,Syosset Hospital,Nassau,Metropolitan Area Regional Office,Emergency Department,"The Emergency Department (ED) is a 14 bed unit with
average daily census of 42 and a 17% admit rate.",,,1,0.4,0,0
0551,St Joseph Hospital,Nassau,Metropolitan Area Regional Office,Critical Care,CCU,1,0.67,1,0.67,1,0.67
0551,St Joseph Hospital,Nassau,Metropolitan Area Regional Office,Medical/Surgical,B Unit,4,1.14,4,1.14,4,1.14
0551,St Joseph Hospital,Nassau,Metropolitan Area Regional Office,Medical/Surgical,S Unit,5,1.43,5,1.43,5,1.43
0552,Plainview Hospital,Nassau,Metropolitan Area Regional Office,Critical Care,"Various acute conditions requiring intensive care
treatments/modalities first floor",1,2.4,1,2.4,1,1.11
0552,Plainview Hospital,Nassau,Metropolitan Area Regional Office,Emergency Department,"1st various medical conditions ranging from Minor
injuries , Acute and critical 23 bays",2,0,,,,
0552,Plainview Hospital,Nassau,Metropolitan Area Regional Office,Medical/Surgical,"Medical surgical patients ,post operative procedures
and various medical conditions second floor",4,0.89,4,0.89,4,0.89
0552,Plainview Hospital,Nassau,Metropolitan Area Regional Office,Medical/Surgical,"medical surgical patients, oncological patients various
medical conditions third floor",3,0.89,3,0.89,3,0.89
0552,Plainview Hospital,Nassau,Metropolitan Area Regional Office,Medical/Surgical,"medical surgical unit various medical conditions first
floor",3,0.89,3,0.89,3,0.89
0552,Plainview Hospital,Nassau,Metropolitan Area Regional Office,Emergency Department,"First floor various medical conditions ranging from
Minor injuries , Acute and critical",,,2,0,2,0
0563,St. Francis Hospital & Heart Center,Nassau,Metropolitan Area Regional Office,Critical Care,"CTICU a Cardiothoracic Intensive Care Unit located
on the third floor of the Casey Pavilion",3,1.13,,,3,1.13
0563,St. Francis Hospital & Heart Center,Nassau,Metropolitan Area Regional Office,Critical Care,"IMCU an Intermediate Care Unit located on the third
floor of the Dematteis Pavilion",4,1.5,4,1.5,4,1.5
0563,St. Francis Hospital & Heart Center,Nassau,Metropolitan Area Regional Office,Critical Care,"MICU 2 a Medical Intensive Care Unit located on the
second floor of the Casey Pavilion",3,1.13,3,1.13,3,1.13
0563,St. Francis Hospital & Heart Center,Nassau,Metropolitan Area Regional Office,Critical Care,"SICU a Surgical Intensive Care Unit located on the
third floor of the Dematteis Pavilion",3,1.13,3,1.13,3,1.13
0563,St. Francis Hospital & Heart Center,Nassau,Metropolitan Area Regional Office,Emergency Department,"The Emergency Department is located on the first
floor of the Heart Center",6,0.44,6,0.44,6,0.44
0563,St. Francis Hospital & Heart Center,Nassau,Metropolitan Area Regional Office,Critical Care,"CTICU a Cardiothoracic Intensive Care Unit located
on the second floor of the Casey Pavilion",,,3,1.13,,
0574,Niagara Falls Memorial Medical Center,Niagara,Western Regional Office,Emergency Department,20 Bed ER (75 patient volume in 24 hour period),2,0.76,3,1.14,2,0.76
0574,Niagara Falls Memorial Medical Center,Niagara,Western Regional Office,Emergency Department,Psychiatry - Emergency Room,1,1.42,,,,
0574,Niagara Falls Memorial Medical Center,Niagara,Western Regional Office,Intensive Care,"I2 bed unit that provides care to both acute medical
surgical patients (8 staffed beds)",2,2.66,1,1.33,1,1.33
0574,Niagara Falls Memorial Medical Center,Niagara,Western Regional Office,Medical/Surgical,24 bed Medical Surgical unit,3,1.73,,,,
0574,Niagara Falls Memorial Medical Center,Niagara,Western Regional Office,Medical/Surgical,Medical Surgical,,,2,1.15,,
0574,Niagara Falls Memorial Medical Center,Niagara,Western Regional Office,Medical/Surgical,24 bed Medical-surgical unit,,,,,2,1.15
0583,Mount St. Mary's Hospital and Health Center,Niagara,Western Regional Office,Critical Care,ICU,0,0,0,0,0,0
0583,Mount St. Mary's Hospital and Health Center,Niagara,Western Regional Office,Emergency Department,"Emergency care offered 24/7/365. This is a 15 bed
unit, with triage area as well as 2 PIT rooms",1.25,10,,,,
0583,Mount St. Mary's Hospital and Health Center,Niagara,Western Regional Office,Emergency Department,"LMH ED is a 14 bed department with 4 fast track
beds",2,16,,,,
0583,Mount St. Mary's Hospital and Health Center,Niagara,Western Regional Office,Medical/Surgical,"10 bed medical unit with telemetry monitoring at LMH
campus",1,8,,,,
0583,Mount St. Mary's Hospital and Health Center,Niagara,Western Regional Office,Emergency Department,"Emergency services 24/7/365 15 beds with triage and
2 PIT rooms",,,1.25,10,,
0583,Mount St. Mary's Hospital and Health Center,Niagara,Western Regional Office,Emergency Department,"LMH 14 bed emergency department with additional 4
fast track beds and triage at LMH campus",,,1.5,12,,
0583,Mount St. Mary's Hospital and Health Center,Niagara,Western Regional Office,Medical/Surgical,"10 bed inpatient medical telemetry unit at LMH
campus",,,1,8,,
0583,Mount St. Mary's Hospital and Health Center,Niagara,Western Regional Office,Emergency Department,"14 room emergency department with 4 bed Fast track
LMH campus",,,,,1,8
0583,Mount St. Mary's Hospital and Health Center,Niagara,Western Regional Office,Emergency Department,Emergency services 24/7/365 15 beds with triage,,,,,1,8
0583,Mount St. Mary's Hospital and Health Center,Niagara,Western Regional Office,Medical/Surgical,LMH medical telemetry unit 10 beds,,,,,1,8
0589,Rome Memorial Hospital Inc,Oneida,Central Regional Office,Emergency Department,"Emergency department providing 24/7
emergent/urgent medical and psychiatric services",2,0.53,,,,
0589,Rome Memorial Hospital Inc,Oneida,Central Regional Office,Intensive Care,ICU- Adult medical -surgical patients,0,0,0,0,0,0
0589,Rome Memorial Hospital Inc,Oneida,Central Regional Office,Medical/Surgical,Medical-Surgical,3,0.75,2.5,0.63,2,0.5
0589,Rome Memorial Hospital Inc,Oneida,Central Regional Office,Emergency Department,"Emergency department providing 24/7
urgent/emergent medical and psychiatric treatment",,,3.5,0.81,1,0.37
0630,St Josephs Hospital Health Center,Onondaga,Central Regional Office,Emergency Department,31001_36001 - Emergency Department,5.75,0.67,5.5,0.67,5,0.67
0630,St Josephs Hospital Health Center,Onondaga,Central Regional Office,Intensive Care,31001_10311 - D3EAST ICU,2,3.43,2,3.43,2,3.43
0630,St Josephs Hospital Health Center,Onondaga,Central Regional Office,Intensive Care,31001_10331 - D3WEST ICU,2,3.28,2,3.34,2,1.17
0630,St Josephs Hospital Health Center,Onondaga,Central Regional Office,Intensive Care,31001_10526 - 34 PCU,1,1.71,1,1.71,1,1.71
0630,St Josephs Hospital Health Center,Onondaga,Central Regional Office,Medical/Surgical,31001_10213 - Patient Care Unit 1-5,1,0.58,1,0.58,1,0.58
0630,St Josephs Hospital Health Center,Onondaga,Central Regional Office,Medical/Surgical,31001_10215 - Patient Care Unit 2-5,2,1.77,2,0.58,1,1.77
0630,St Josephs Hospital Health Center,Onondaga,Central Regional Office,Medical/Surgical,31001_10218 - Patient Care Unit 2-4,2,1.91,2,1.91,2,1.91
0630,St Josephs Hospital Health Center,Onondaga,Central Regional Office,Medical/Surgical,31001_10231 - Patient Care Unit 3-1,2,2.33,2,2.33,2,2.33
0630,St Josephs Hospital Health Center,Onondaga,Central Regional Office,Medical/Surgical,31001_10214 - Patient Care Unit 1-4 (3-2),,,1,0.58,,
0636,Crouse Hospital,Onondaga,Central Regional Office,Emergency Department,EMERGENCY DEPARTMENT,0,0,0,0,,
0636,Crouse Hospital,Onondaga,Central Regional Office,Intensive Care,INTENSIVE CARE UNIT,2.8,1.05,2.8,1.05,,
0636,Crouse Hospital,Onondaga,Central Regional Office,Medical/Surgical,"4 MEMORIAL - BARIATRIC, DIALYSIS,
COLORECTAL",2.8,1.74,2.8,1.74,,
0636,Crouse Hospital,Onondaga,Central Regional Office,Medical/Surgical,MED/SURG - 4 N IRV,4.2,0.53,4.2,0.93,,
0636,Crouse Hospital,Onondaga,Central Regional Office,Medical/Surgical,MED/SURG - 4 S IRV,4.2,1.08,4.2,1.08,,
0636,Crouse Hospital,Onondaga,Central Regional Office,Medical/Surgical,MED/SURG - 5 IRV,5.6,1.28,5.6,1.28,,
0636,Crouse Hospital,Onondaga,Central Regional Office,Medical/Surgical,MED/SURG - 6 N IRV,7,1.76,7,1.76,,
0636,Crouse Hospital,Onondaga,Central Regional Office,Medical/Surgical,MED/SURG - 6 S IRV,7,1.56,5.6,1.25,5.6,1.25
0636,Crouse Hospital,Onondaga,Central Regional Office,Medical/Surgical,MED/SURG - 7 MEM,2.8,1.59,2.8,1.59,,
0636,Crouse Hospital,Onondaga,Central Regional Office,Emergency Department,Emergency Department,,,,,0,0
0636,Crouse Hospital,Onondaga,Central Regional Office,Intensive Care,3 Irving ICU,,,,,2.73,1
0636,Crouse Hospital,Onondaga,Central Regional Office,Medical/Surgical,4 Memorial Bariatrics,,,,,2.77,1.83
0636,Crouse Hospital,Onondaga,Central Regional Office,Medical/Surgical,5 South Irving General Surgical,,,,,4.79,1.08
0636,Crouse Hospital,Onondaga,Central Regional Office,Medical/Surgical,7 Memorial Medical/Surgical,,,,,2.56,1.44
0671,Geneva General Hospital,Ontario,Western Regional Office,Emergency Department,Emergency Department,1,0.27,1,0.21,1,0.44
0671,Geneva General Hospital,Ontario,Western Regional Office,Intensive Care,"ICU-census 50% ICU, 25% Intermediate Care, & 25%
med/tele-staffed accordingly",0,0,0,0,0,0
0671,Geneva General Hospital,Ontario,Western Regional Office,Medical/Surgical,2 East Medical,1,0.89,1,0.89,1,0.89
0671,Geneva General Hospital,Ontario,Western Regional Office,Medical/Surgical,3 North Medical/ Surgical,2,0.87,1.5,0.65,1,0.44
0676,Clifton Springs Hospital And Clinic,Ontario,Western Regional Office,Emergency Department,Emergency Department,2,1.5,2,1.5,2,1.5
0676,Clifton Springs Hospital And Clinic,Ontario,Western Regional Office,Intensive Care,Intensive Care Unit,1,2,1,2,0,2
0676,Clifton Springs Hospital And Clinic,Ontario,Western Regional Office,Medical/Surgical,1400 Med Surg / Telemetry,2,1,2,1,2,1
0678,F F Thompson Hospital,Ontario,Western Regional Office,Emergency Department,"A 24-bed unit, open 24/7 providing immediate, urgent
and emergent services, first floor.",4.5,0.79,5,0.43,3,0.54
0678,F F Thompson Hospital,Ontario,Western Regional Office,Intensive Care,"ICU - Intensive Care Unit built to care for intermediate
and critically ill patients on first floor.",1,0.66,,,,
0678,F F Thompson Hospital,Ontario,Western Regional Office,Medical/Surgical,"2 West - Medical Surgical unit caring for patients with
diverse diagnosis, second floor.",3,1.14,3,1.14,3,1.14
0678,F F Thompson Hospital,Ontario,Western Regional Office,Medical/Surgical,"3 East - Medical Surgical unit caring for patients with
diverse diagnosis, third floor.",3,1.14,3,1.14,3,1.14
0678,F F Thompson Hospital,Ontario,Western Regional Office,Medical/Surgical,"3 West - Medical Surgical unit caring for patients with
diverse diagnosis, third floor.",3,1.14,,,3,1.14
0678,F F Thompson Hospital,Ontario,Western Regional Office,Critical Care,"ICU - Intensive Care Unit built to care for intermediate
and critically ill patients on first floor.",,,1,0.66,1,0.82
0678,F F Thompson Hospital,Ontario,Western Regional Office,Medical/Surgical,"3 West - Medical Surgical unit caring for patients with
diverse diagnosis, third floor",,,3,1.21,,
0694,St Luke's Cornwall Hospital Newburgh,Orange,Metropolitan Area Regional Office,Intensive Care,Intensive Care Unit,1,0.57,1,0.57,1,0.57
0694,St Luke's Cornwall Hospital Newburgh,Orange,Metropolitan Area Regional Office,Medical/Surgical,7North,1,0.8,,,1,0.8
0694,St Luke's Cornwall Hospital Newburgh,Orange,Metropolitan Area Regional Office,Medical/Surgical,7 North,,,1,0.8,,
0699,Garnet Health Medical Center,Orange,Metropolitan Area Regional Office,Critical Care,"3 East (MICU) Pod 3 - (See separate scope of
service document)",1,0.75,1,0.75,0,0
0699,Garnet Health Medical Center,Orange,Metropolitan Area Regional Office,Critical Care,"3 East (MICU) Pod 4 - (See separate scope of
service document)",1,0.75,1,0.6,0,0
0699,Garnet Health Medical Center,Orange,Metropolitan Area Regional Office,Critical Care,"3 North Progressive Care (PCU) & Stepdown Unit
(SDU)) - (See separate scope of service document)",2,0.63,,,,
0699,Garnet Health Medical Center,Orange,Metropolitan Area Regional Office,Critical Care,"3 South (Progressive Care Unit) - (See separate
scope of service document)",2,0.63,3,0.63,,
0699,Garnet Health Medical Center,Orange,Metropolitan Area Regional Office,Critical Care,"3 West (SICU) Pod 2 - (See separate scope of
service document)",1,0.75,1,0.75,0,0
0699,Garnet Health Medical Center,Orange,Metropolitan Area Regional Office,Critical Care,"4 South Progressive Care Unit - (See separate scope
of service document)",2,0.63,3,0.94,2,0.63
0699,Garnet Health Medical Center,Orange,Metropolitan Area Regional Office,Critical Care,"CT ICU 3 West - Pod 1 - (See separate scope of
service document)",1,2.5,1,2.5,1,3.13
0699,Garnet Health Medical Center,Orange,Metropolitan Area Regional Office,Emergency Department,"Emergency Department, Children's ED, Behavioral
Health Access Center Units",6,0.63,1,0.1,2,0.21
0699,Garnet Health Medical Center,Orange,Metropolitan Area Regional Office,Medical/Surgical,"2 South Medical Surgical - (See separate scope of
service document)",2,0.65,,,,
0699,Garnet Health Medical Center,Orange,Metropolitan Area Regional Office,Medical/Surgical,"4 North Medical Surgical - (See separate scope of
service document)",2,0.6,3,0.9,2,0.6
0699,Garnet Health Medical Center,Orange,Metropolitan Area Regional Office,Medical/Surgical,"4 West Medical Surgical - (See separate scope of
service document)",2,0.68,3,1.02,2,0.63
0699,Garnet Health Medical Center,Orange,Metropolitan Area Regional Office,Medical/Surgical,"5 North Medical Surgical - (See separate scope of
service document)",2,0.6,3,0.9,2,0.6
0699,Garnet Health Medical Center,Orange,Metropolitan Area Regional Office,Medical/Surgical,"5 South Medical Surgical - (See separate scope of
service document)",2,0.63,3,0.94,,
0699,Garnet Health Medical Center,Orange,Metropolitan Area Regional Office,Critical Care,"3 North (Progressive Care - Stepdown Unit) - (See
separate scope of service document)",,,3,0.94,,
0699,Garnet Health Medical Center,Orange,Metropolitan Area Regional Office,Medical/Surgical,"2 South (Surgical) Medical Surgical - (See separate
scope of service document)",,,3,0.98,2,0.65
0699,Garnet Health Medical Center,Orange,Metropolitan Area Regional Office,Medical/Surgical,5 South Medical Surgical,,,,,2,0.58
0704,St Anthony Community Hospital,Orange,Metropolitan Area Regional Office,Critical Care,ICU: Intensive Care Unit,0,0,0,0,0,0
0704,St Anthony Community Hospital,Orange,Metropolitan Area Regional Office,Emergency Department,Emergency Department,1.5,0.3,1,0.47,1,0.47
0704,St Anthony Community Hospital,Orange,Metropolitan Area Regional Office,Medical/Surgical,"Medical Surgical, 1st Floor",2,1.07,,,,
0708,Bon Secours Community Hospital,Orange,Metropolitan Area Regional Office,Critical Care,ICU: Intensive Care Unit,0,0,1,0.4,0,0
0708,Bon Secours Community Hospital,Orange,Metropolitan Area Regional Office,Emergency Department,Emergency Department,1,0.38,1,0.38,1,0.38
0708,Bon Secours Community Hospital,Orange,Metropolitan Area Regional Office,Medical/Surgical,Medical Surgical Bariatrics,1,1.5,1,1.5,0,0
0708,Bon Secours Community Hospital,Orange,Metropolitan Area Regional Office,Medical/Surgical,"Medical Surgical, 3rd Floor",2,0.83,,,,
0708,Bon Secours Community Hospital,Orange,Metropolitan Area Regional Office,Medical/Surgical,Medical Surgical 3rd Floor,,,2,0.83,2,0.83
0718,Medina Memorial Hospital,Orleans,Western Regional Office,Medical/Surgical,"medical surgical telemetry unit for inpatients and also
service sub-acute rehab patients",2,24,,,,
0718,Medina Memorial Hospital,Orleans,Western Regional Office,Medical/Surgical,"medical surgical telemetry unit with sub acute rehab
patients",,,,,2,24
0727,Oswego Hospital,Oswego,Central Regional Office,Emergency Department,"Emergency Department that provides 24/7 Emergency
Care to the Community.",2,0.89,,,,
0727,Oswego Hospital,Oswego,Central Regional Office,Intensive Care,Intensive Care Unit,1,7.5,1,7.5,0,0
0727,Oswego Hospital,Oswego,Central Regional Office,Medical/Surgical,3 Med/Surg,1,0.49,,,2,0.94
0727,Oswego Hospital,Oswego,Central Regional Office,Medical/Surgical,4 Med/surg,2,0.94,2,0.94,,
0727,Oswego Hospital,Oswego,Central Regional Office,Emergency Department,Emergency Department,,,2,16,2,1.07
0727,Oswego Hospital,Oswego,Central Regional Office,Medical/Surgical,3 Med Surg,,,1,0.75,,
0727,Oswego Hospital,Oswego,Central Regional Office,Medical/Surgical,4 Med Surg,,,,,2,0.94
0739,A.O. Fox Memorial Hospital,Otsego,Capital District Regional Office,Emergency Department,15 bed emergency department,2,0.73,,,2,0.91
0739,A.O. Fox Memorial Hospital,Otsego,Capital District Regional Office,Medical/Surgical,"General inpatient unit that cares for a wide range of
adult patients with both medical and surgical",3,1.53,,,,
0739,A.O. Fox Memorial Hospital,Otsego,Capital District Regional Office,Medical/Surgical,25 bed medical surgical unit,,,,,3,1.53
0746,Mary Imogene Bassett Hospital,Otsego,Capital District Regional Office,Critical Care,Intensive Care Unit,3,2.25,,,2,2.25
0746,Mary Imogene Bassett Hospital,Otsego,Capital District Regional Office,Emergency Department,ED,3,1.05,,,0,0
0746,Mary Imogene Bassett Hospital,Otsego,Capital District Regional Office,Medical/Surgical,Medical 2,2,1.5,,,,
0746,Mary Imogene Bassett Hospital,Otsego,Capital District Regional Office,Medical/Surgical,Medical 3,3,1.4,,,3,1.33
